PassengerId,Passenger_group,HomePlanet_Europa,HomePlanet_Mars,CryoSleep,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Cabin_deck,Cabin_num,Cabin_side,Transported
0001,01,1,0,0,0,1,39.0,0,0.0,0.0,0.0,0.0,0.0,B,0,P,0
0002,01,0,0,0,0,1,24.0,0,109.0,9.0,25.0,549.0,44.0,F,0,S,1
0003,01,1,0,0,0,1,58.0,1,43.0,3576.0,0.0,6715.0,49.0,A,0,S,0
0003,02,1,0,0,0,1,33.0,0,0.0,1283.0,371.0,3329.0,193.0,A,0,S,0
0004,01,0,0,0,0,1,16.0,0,303.0,70.0,151.0,565.0,2.0,F,1,S,1
0005,01,0,0,0,1,0,44.0,0,0.0,483.0,0.0,291.0,0.0,F,0,P,1
0006,01,0,0,0,0,1,26.0,0,42.0,1539.0,3.0,0.0,0.0,F,2,S,1
0007,01,0,0,0,0,1,35.0,0,0.0,785.0,17.0,216.0,0.0,F,3,S,1
0008,01,1,0,1,0,0,14.0,0,0.0,0.0,0.0,0.0,0.0,B,1,P,1
0008,03,1,0,0,0,0,45.0,0,39.0,7295.0,589.0,110.0,124.0,B,1,P,1
0009,01,0,1,0,0,1,32.0,0,73.0,0.0,1123.0,0.0,113.0,F,1,P,1
0010,01,0,0,0,0,1,48.0,0,719.0,1.0,65.0,0.0,24.0,G,1,S,0
0011,01,0,0,0,0,1,28.0,0,8.0,974.0,12.0,2.0,7.0,F,2,P,1
0015,01,0,0,0,0,0,24.0,0,0.0,1.0,0.0,0.0,637.0,F,4,P,0
0016,01,0,1,1,0,1,45.0,0,0.0,0.0,0.0,0.0,0.0,F,5,P,1
0017,01,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,G,0,P,1
0017,02,0,0,0,0,0,14.0,0,412.0,0.0,1.0,0.0,679.0,F,6,P,0
0020,01,0,0,1,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,E,0,S,0
0020,02,0,0,1,0,0,49.0,0,0.0,0.0,0.0,0.0,0.0,E,0,S,0
0020,04,0,0,0,0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,E,0,S,1
0020,06,0,0,0,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,E,0,S,0
0025,01,0,0,0,0,1,15.0,0,0.0,225.0,0.0,998.0,0.0,F,6,S,0
0026,01,1,0,0,0,0,34.0,0,22.0,6073.0,0.0,1438.0,328.0,C,0,P,0
0028,01,0,1,0,0,1,43.0,0,1125.0,0.0,136.0,48.0,0.0,F,8,P,0
0030,01,0,0,0,0,1,32.0,0,0.0,850.0,81.0,437.0,453.0,G,4,S,0
0031,01,0,1,0,0,1,47.0,0,214.0,0.0,1411.0,0.0,1229.0,F,9,P,1
0031,02,0,1,0,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,F,9,P,1
0034,01,1,0,1,0,0,28.0,0,0.0,0.0,0.0,0.0,0.0,D,1,S,1
0035,01,0,1,0,0,0,23.0,0,784.0,964.0,0.0,951.0,0.0,D,1,P,0
0038,01,0,0,0,0,0,20.0,0,554.0,195.0,0.0,2606.0,0.0,F,10,S,0
0041,01,0,0,1,0,1,17.0,0,0.0,0.0,0.0,0.0,0.0,G,2,P,1
0043,01,1,0,0,0,1,45.0,0,0.0,164.0,45.0,2511.0,855.0,B,3,P,0
0044,01,0,0,1,0,1,55.0,0,0.0,0.0,0.0,0.0,0.0,G,3,P,0
0044,02,0,0,1,0,0,4.0,0,0.0,0.0,0.0,0.0,0.0,G,3,P,1
0044,03,0,0,1,1,0,21.0,0,0.0,0.0,0.0,0.0,0.0,G,3,P,1
